##Names,536.fna,APEC01.fna,CFT073.fna,SMS35.fna,ED1a.fna,UTI89.fna,S88.fna,IAI39.fna,E234869.fna
536.fna,0,0.0109798,0.00896669,0.0256683,0.0125131,0.00850943,0.0109623,0.0216881,0.0148857
APEC01.fna,0.0109798,0,0.0106531,0.0247077,0.0108201,0.00404237,0.00339357,0.0219135,0.0164217
CFT073.fna,0.00896669,0.0106531,0,0.0234172,0.0115273,0.0091845,0.00995482,0.0219465,0.0146227
SMS35.fna,0.0256683,0.0247077,0.0234172,0,0.0246522,0.024174,0.0226408,0.0123171,0.0249198
ED1a.fna,0.0125131,0.0108201,0.0115273,0.0246522,0,0.0111466,0.0108059,0.0216555,0.0163301
UTI89.fna,0.00850943,0.00404237,0.0091845,0.024174,0.0111466,0,0.00404857,0.0222396,0.0142447
S88.fna,0.0109623,0.00339357,0.00995482,0.0226408,0.0108059,0.00404857,0,0.021582,0.0149743
IAI39.fna,0.0216881,0.0219135,0.0219465,0.0123171,0.0216555,0.0222396,0.021582,0,0.0234161
E234869.fna,0.0148857,0.0164217,0.0146227,0.0249198,0.0163301,0.0142447,0.0149743,0.0234161,0
